id,brewery_id,latitude,longitude,accuracy
1,1,30.22340012,-97.7696991,ROOFTOP
2,2,37.78250122,-122.3929977,ROOFTOP
3,3,50.76679993,4.308100224,RANGE_INTERPOLATED
4,4,59.74509811,10.21350002,APPROXIMATE
5,5,50.26060104,4.912199974,APPROXIMATE
6,6,50.30929947,4.7645998,GEOMETRIC_CENTER
7,7,50.19990158,5.227700233,RANGE_INTERPOLATED
8,8,41.22249985,-77.03690338,RANGE_INTERPOLATED
9,9,41.43920135,-87.10780334,RANGE_INTERPOLATED
10,10,30.50489998,-89.94400024,APPROXIMATE
11,11,52.32770157,1.680199981,APPROXIMATE
12,12,50.96989822,4.189199924,APPROXIMATE
13,13,49.76520157,-97.15390015,APPROXIMATE
14,14,41.26029968,-96.09030151,RANGE_INTERPOLATED
15,15,47.87810135,10.61610031,ROOFTOP
16,16,45.54840088,-122.6190033,ROOFTOP
17,17,58.3572998,-134.4900055,ROOFTOP
18,20,43.1257019,-89.32530212,RANGE_INTERPOLATED
19,21,32.89199829,-117.1439972,ROOFTOP
20,22,21.30690002,-157.8580017,APPROXIMATE
21,23,43.70280075,-70.31659698,RANGE_INTERPOLATED
22,24,43.70280075,-70.31659698,RANGE_INTERPOLATED
23,25,40.60160065,-75.47399902,RANGE_INTERPOLATED
24,26,47.74869919,10.56939983,ROOFTOP
25,26,47.72370148,10.31410027,ROOFTOP
26,28,38.05009842,-84.50879669,RANGE_INTERPOLATED
27,29,32.83549881,-116.7649994,RANGE_INTERPOLATED
28,30,48.34569931,8.403100014,ROOFTOP
29,31,50.91899872,3.263200045,RANGE_INTERPOLATED
30,32,41.76050186,-88.30899811,ROOFTOP
31,33,38.89659882,-121.0770035,APPROXIMATE
32,34,39.15510178,-94.48200226,RANGE_INTERPOLATED
33,35,42.37630081,-72.51989746,RANGE_INTERPOLATED
34,36,38.53499985,-105.9919968,ROOFTOP
35,37,52.37379837,4.890900135,APPROXIMATE
36,38,48.51929855,-122.612999,RANGE_INTERPOLATED
37,39,37.76350021,-122.401001,ROOFTOP
38,40,47.97750092,11.18500042,ROOFTOP
39,41,39.00139999,-123.3560028,ROOFTOP
40,42,44.35160065,-69.14009857,RANGE_INTERPOLATED
41,43,43.07849884,-89.38200378,APPROXIMATE
42,44,38.59830093,-90.20899963,RANGE_INTERPOLATED
43,45,40.26589966,-76.87529755,ROOFTOP
44,46,44.26190186,-88.41539764,APPROXIMATE
45,47,42.3219986,-85.18509674,RANGE_INTERPOLATED
46,49,53.34329987,-6.284599781,APPROXIMATE
47,51,35.62210083,-82.5535965,ROOFTOP
48,54,33.81800079,-84.43530273,ROOFTOP
49,55,44.39960098,-68.33399963,ROOFTOP
50,56,42.33720016,-83.01860046,ROOFTOP
51,57,44.28960037,-94.4489975,RANGE_INTERPOLATED
52,58,44.28960037,-94.4489975,RANGE_INTERPOLATED
53,59,38.57020187,-90.88020325,RANGE_INTERPOLATED
54,61,-37.9679985,144.5249939,ROOFTOP
55,62,40.01660156,-105.2190018,ROOFTOP
56,1394,35.61970139,-78.8085022,ROOFTOP
58,63,41.61240005,-86.72679901,RANGE_INTERPOLATED
59,64,39.57649994,-106.0940018,RANGE_INTERPOLATED
60,65,44.04859924,-91.67739868,RANGE_INTERPOLATED
61,66,44.42139816,-84.11669922,APPROXIMATE
62,68,32.76679993,-117.1949997,ROOFTOP
63,69,39.41999817,-76.54000092,APPROXIMATE
64,70,49.89009857,10.90670013,ROOFTOP
65,71,44.16360092,-93.99939728,APPROXIMATE
66,72,44.38750076,-68.20459747,RANGE_INTERPOLATED
67,73,38.91690063,-94.39430237,ROOFTOP
68,74,48.39789963,9.989899635,ROOFTOP
69,75,34.47019958,-114.3499985,RANGE_INTERPOLATED
70,76,41.0522995,-75.33540344,APPROXIMATE
71,77,40.04529953,-86.01550293,ROOFTOP
72,78,45.0359993,-93.1984024,ROOFTOP
73,79,39.97449875,-83.0490036,ROOFTOP
74,80,39.97190094,-83.00270081,ROOFTOP
75,81,36.07210159,-115.0749969,ROOFTOP
76,82,47.52030182,-122.3119965,RANGE_INTERPOLATED
77,83,39.11360168,-84.52600098,RANGE_INTERPOLATED
78,84,39.97669983,-74.18289948,RANGE_INTERPOLATED
79,85,52.80459976,-1.628100038,RANGE_INTERPOLATED
80,86,10.96389961,-74.79640198,APPROXIMATE
81,87,41.23799896,-77.01029968,RANGE_INTERPOLATED
82,1393,44.10039902,-70.21479797,APPROXIMATE
83,88,48.39519882,11.72879982,ROOFTOP
84,89,46.87260056,-114.0199966,ROOFTOP
85,90,38.25460052,-85.74009705,ROOFTOP
86,91,28.53829956,-81.3792038,APPROXIMATE
87,92,37.76940155,-122.5100021,ROOFTOP
88,93,51.89699936,-8.476900101,GEOMETRIC_CENTER
89,94,38.61119843,-122.8710022,RANGE_INTERPOLATED
90,96,38.89160156,-121.2929993,APPROXIMATE
91,97,44.42950058,-68.97499847,RANGE_INTERPOLATED
92,98,55.99700165,-2.509799957,GEOMETRIC_CENTER
93,99,17.49769974,-88.18669891,APPROXIMATE
94,100,42.28430176,-85.45379639,ROOFTOP
95,101,43.19469833,-88.72899628,APPROXIMATE
96,102,41.50590134,-90.51709747,RANGE_INTERPOLATED
97,103,52.47930145,13.42930031,ROOFTOP
98,104,52.52339935,13.41139984,APPROXIMATE
99,106,40.62200165,-75.38200378,RANGE_INTERPOLATED
100,107,40.11059952,-88.20729828,APPROXIMATE
101,108,32.32929993,-96.62529755,APPROXIMATE
102,109,51.5163002,5.597700119,RANGE_INTERPOLATED
103,110,51.54399872,5.128499985,RANGE_INTERPOLATED
104,111,51.16839981,6.051499844,RANGE_INTERPOLATED
105,112,37.77560043,-122.3980026,ROOFTOP
106,113,35.8103981,-78.61789703,ROOFTOP
107,114,45.02230072,-84.68260193,GEOMETRIC_CENTER
108,115,42.96340179,-85.66809845,APPROXIMATE
109,116,36.24259949,-115.2360001,ROOFTOP
110,117,45.77360153,-111.1719971,RANGE_INTERPOLATED
111,118,42.15110016,-87.91439819,ROOFTOP
112,119,49.10490036,-122.6900024,APPROXIMATE
113,120,49.13439941,-123.0650024,ROOFTOP
114,121,50.98469925,-113.9560013,ROOFTOP
115,122,46.92229843,-114.072998,ROOFTOP
116,123,47.6576004,-122.3130035,ROOFTOP
117,124,45.89810181,-123.9609985,ROOFTOP
118,125,50.09429932,8.691300392,ROOFTOP
119,127,46.05970001,13.2269001,RANGE_INTERPOLATED
120,128,44.51530075,7.892199993,RANGE_INTERPOLATED
121,129,44.66009903,10.28139973,RANGE_INTERPOLATED
122,130,37.86339951,-122.2590027,ROOFTOP
123,131,49.97399902,6.522699833,APPROXIMATE
124,132,45.52349854,-122.6760025,APPROXIMATE
125,133,33.91320038,-117.8889999,ROOFTOP
126,135,41.88169861,-87.69259644,APPROXIMATE
127,136,37.22999954,-80.41000366,APPROXIMATE
128,137,36.15200043,-86.79889679,ROOFTOP
129,138,38.83390045,-104.8209991,APPROXIMATE
130,139,45.53250122,-122.685997,APPROXIMATE
131,140,39.17160034,-86.51039886,RANGE_INTERPOLATED
132,141,43.05979919,-89.3085022,ROOFTOP
133,142,41.51179886,-90.57460022,RANGE_INTERPOLATED
134,143,35.08449936,-106.651001,APPROXIMATE
135,144,40.75910187,-73.02149963,ROOFTOP
136,145,34.85309982,-82.39830017,ROOFTOP
137,146,38.25299835,-85.65399933,ROOFTOP
138,147,44.1332016,-73.07839966,RANGE_INTERPOLATED
139,148,53.48070145,-2.234400034,APPROXIMATE
140,149,35.15840149,-114.572998,ROOFTOP
141,150,34.05319977,-118.2559967,ROOFTOP
142,151,42.43109894,-83.48329926,APPROXIMATE
143,152,13.77830029,100.5090027,GEOMETRIC_CENTER
144,153,35.37329865,-119.0189972,APPROXIMATE
145,155,35.08679962,-89.81009674,APPROXIMATE
146,156,52.6739006,14.90040016,RANGE_INTERPOLATED
147,157,42.31439972,-71.10340118,ROOFTOP
148,158,42.34700012,-71.09889984,ROOFTOP
149,159,42.86660004,-109.8659973,RANGE_INTERPOLATED
150,160,40.02669907,-105.2480011,ROOFTOP
151,161,39.08209991,-94.59649658,ROOFTOP
152,162,48.74750137,-122.4810028,RANGE_INTERPOLATED
153,163,45.42890167,-73.63130188,APPROXIMATE
154,164,49.71849823,5.557099819,RANGE_INTERPOLATED
155,165,50.48519897,2.830600023,APPROXIMATE
156,166,50.8431015,3.607700109,RANGE_INTERPOLATED
157,167,50.15069962,5.74420023,RANGE_INTERPOLATED
158,168,50.55929947,4.136499882,GEOMETRIC_CENTER
159,170,50.36930084,3.826999903,GEOMETRIC_CENTER
160,171,50.51089859,3.388299942,RANGE_INTERPOLATED
161,173,49.98419952,4.311100006,RANGE_INTERPOLATED
162,174,50.37049866,3.726300001,RANGE_INTERPOLATED
163,175,50.70460129,5.822000027,GEOMETRIC_CENTER
164,176,50.78530121,4.243700027,RANGE_INTERPOLATED
165,177,50.79750061,2.541199923,RANGE_INTERPOLATED
166,178,50.22480011,4.410200119,APPROXIMATE
167,179,50.64929962,3.924200058,ROOFTOP
168,180,-17.67970085,-149.4069977,APPROXIMATE
169,182,45.70750046,5.915299892,RANGE_INTERPOLATED
170,183,47.25429916,7.002600193,ROOFTOP
171,184,50.62039948,3.759200096,GEOMETRIC_CENTER
172,185,48.00279999,6.658299923,GEOMETRIC_CENTER
173,186,32.3905983,-93.37390137,RANGE_INTERPOLATED
174,187,50.31140137,4.943500042,RANGE_INTERPOLATED
175,188,50.57789993,3.555399895,RANGE_INTERPOLATED
176,189,50.57180023,3.65079999,RANGE_INTERPOLATED
177,190,50.30889893,3.628499985,APPROXIMATE
178,191,50.74280167,3.6875,RANGE_INTERPOLATED
179,192,50.2859993,5.512700081,RANGE_INTERPOLATED
180,193,50.60540009,3.077500105,APPROXIMATE
181,194,50.40800095,4.16590023,RANGE_INTERPOLATED
182,195,50.20240021,4.89139986,RANGE_INTERPOLATED
183,196,50.26010132,3.3125,RANGE_INTERPOLATED
184,197,50.67459869,4.150899887,RANGE_INTERPOLATED
185,198,45.46820068,-73.59130096,ROOFTOP
186,199,42.64830017,9.452899933,GEOMETRIC_CENTER
187,200,50.88510132,2.432899952,ROOFTOP
188,201,50.36819839,4.326600075,RANGE_INTERPOLATED
189,202,50.84159851,4.335499763,ROOFTOP
190,203,48.5929985,7.714900017,RANGE_INTERPOLATED
191,204,47.67150116,9.58880043,ROOFTOP
192,205,47.97060013,11.78079987,ROOFTOP
193,206,53.07870102,8.790100098,ROOFTOP
194,207,51.30550003,8.125900269,GEOMETRIC_CENTER
195,208,49.89419937,10.88549995,APPROXIMATE
196,209,49.9477005,11.56589985,ROOFTOP
197,210,48.23509979,13.82919979,ROOFTOP
198,211,47.36249924,15.09469986,ROOFTOP
199,212,52.39350128,9.681400299,ROOFTOP
200,213,47.82429886,10.02390003,ROOFTOP
201,214,47.36420059,8.524499893,ROOFTOP
202,216,47.78179932,9.621500015,ROOFTOP
203,217,47.33010101,9.413499832,RANGE_INTERPOLATED
204,218,50.87530136,6.994400024,ROOFTOP
205,219,47.43009949,9.379400253,ROOFTOP
206,220,51.22159958,6.785299778,ROOFTOP
207,221,51.28469849,7.293600082,ROOFTOP
208,222,49.89419937,10.88549995,APPROXIMATE
209,223,51.96569824,7.621399879,ROOFTOP
210,224,48.13059998,15.13860035,APPROXIMATE
211,225,48.07780075,9.399600029,ROOFTOP
213,227,44.41049957,-95.41069794,RANGE_INTERPOLATED
214,228,49.69929886,9.249199867,ROOFTOP
215,229,51.24039841,6.751599789,ROOFTOP
216,230,47.6651001,9.175000191,ROOFTOP
217,231,43.0646019,141.3470001,APPROXIMATE
218,232,50.93939972,6.959400177,ROOFTOP
219,233,47.55849838,8.900600433,ROOFTOP
220,234,47.06790161,15.44169998,APPROXIMATE
221,235,41.25400162,-95.9992981,APPROXIMATE
222,236,39.72359848,-105.0009995,ROOFTOP
223,237,39.72359848,-105.0009995,ROOFTOP
224,238,50.67179871,6.122000217,RANGE_INTERPOLATED
225,239,41.34700012,-81.82260132,ROOFTOP
226,240,37.38610077,-122.0839996,APPROXIMATE
227,241,57.68299866,-2.003000021,APPROXIMATE
228,242,39.30279922,-76.61640167,ROOFTOP
229,243,41.45479965,-70.56500244,APPROXIMATE
230,244,50.85269928,4.331099987,GEOMETRIC_CENTER
231,245,48.97389984,14.47500038,APPROXIMATE
232,246,51.31439972,4.988999844,RANGE_INTERPOLATED
233,247,42.86059952,-90.17720032,RANGE_INTERPOLATED
234,248,50.85300064,4.164899826,RANGE_INTERPOLATED
235,249,42.68180084,-74.92549896,RANGE_INTERPOLATED
236,250,42.58470154,-87.82119751,APPROXIMATE
237,251,37.5483017,-121.9889984,APPROXIMATE
238,254,42.49649811,-90.66519928,ROOFTOP
239,255,45.53110123,-122.6849976,ROOFTOP
240,256,39.3628006,-77.42649841,ROOFTOP
241,257,38.80970001,-104.8259964,RANGE_INTERPOLATED
242,258,39.87350082,-86.1427002,RANGE_INTERPOLATED
243,259,40.7215004,-73.95749664,ROOFTOP
244,260,55.61449814,-3.410700083,APPROXIMATE
245,261,52.36660004,4.926300049,ROOFTOP
246,262,51.29740143,4.688099861,RANGE_INTERPOLATED
247,263,50.89609909,2.722199917,RANGE_INTERPOLATED
248,264,50.44309998,4.414700031,RANGE_INTERPOLATED
249,265,50.88529968,4.700799942,RANGE_INTERPOLATED
250,266,50.8628006,3.299200058,RANGE_INTERPOLATED
251,267,50.77669907,3.27850008,RANGE_INTERPOLATED
252,268,50.71229935,4.21969986,RANGE_INTERPOLATED
253,269,51.01380157,4.20179987,RANGE_INTERPOLATED
254,270,51.29859924,5.489600182,RANGE_INTERPOLATED
255,271,50.98500061,4.222599983,ROOFTOP
256,272,51.02809906,2.903800011,ROOFTOP
257,273,51.20940018,3.225199938,APPROXIMATE
258,274,50.90980148,4.250500202,RANGE_INTERPOLATED
