id,cat_id,style_name,last_mod
1,1,Classic English-Style Pale Ale,2010-10-24 13:53:31 UTC
2,1,English-Style India Pale Ale,2010-06-15 19:14:38 UTC
3,1,Ordinary Bitter,2010-06-15 19:14:54 UTC
4,1,Special Bitter or Best Bitter,2010-06-15 19:15:02 UTC
5,1,Extra Special Bitter,2010-06-15 19:15:09 UTC
6,1,English-Style Summer Ale,2010-06-15 19:15:20 UTC
7,1,Scottish-Style Light Ale,2010-06-15 19:15:28 UTC
8,1,Scottish-Style Heavy Ale,2010-06-15 19:15:37 UTC
9,1,Scottish-Style Export Ale,2010-06-15 19:15:45 UTC
10,1,English-Style Pale Mild Ale,2010-06-15 19:16:17 UTC
11,1,English-Style Dark Mild Ale,2010-06-15 19:16:27 UTC
12,1,English-Style Brown Ale,2010-06-15 19:16:34 UTC
13,1,Old Ale,2010-06-15 19:16:40 UTC
14,1,Strong Ale,2010-06-15 19:16:46 UTC
15,1,Scotch Ale,2010-06-15 19:16:54 UTC
16,1,British-Style Imperial Stout,2010-06-15 19:17:07 UTC
17,1,British-Style Barley Wine Ale,2010-06-15 19:17:16 UTC
18,1,Robust Porter,2010-06-15 19:17:37 UTC
19,1,Brown Porter,2010-06-15 19:17:43 UTC
20,1,Sweet Stout,2010-06-15 19:17:50 UTC
21,1,Oatmeal Stout,2010-06-15 19:17:56 UTC
22,2,Irish-Style Red Ale,2010-06-15 19:21:04 UTC
23,2,Classic Irish-Style Dry Stout,2010-06-15 19:21:07 UTC
24,2,Foreign (Export)-Style Stout,2010-06-15 19:21:14 UTC
25,2,Porter,2010-06-15 19:21:39 UTC
26,3,American-Style Pale Ale,2010-06-15 19:22:32 UTC
27,3,Fresh Hop Ale,2010-06-15 19:22:41 UTC
28,3,Pale American-Belgo-Style Ale,2010-06-15 19:22:51 UTC
29,3,Dark American-Belgo-Style Ale,2010-06-15 19:23:00 UTC
30,3,American-Style Strong Pale Ale,2010-06-15 19:23:07 UTC
31,3,American-Style India Pale Ale,2010-06-15 19:23:15 UTC
32,3,Imperial or Double India Pale Ale,2010-06-15 19:23:23 UTC
33,3,American-Style Amber/Red Ale,2010-06-15 19:23:30 UTC
34,3,Imperial or Double Red Ale,2010-06-15 19:23:52 UTC
35,3,American-Style Barley Wine Ale,2010-06-15 19:23:59 UTC
36,3,American-Style Wheat Wine Ale,2010-06-15 19:24:08 UTC
37,3,Golden or Blonde Ale,2010-06-15 19:24:15 UTC
38,3,American-Style Brown Ale,2010-06-15 19:24:23 UTC
39,3,Smoke Porter,2010-06-15 19:24:30 UTC
40,3,American-Style Sour Ale,2010-06-15 19:24:58 UTC
41,3,American-Style India Black Ale,2010-06-15 19:25:05 UTC
42,3,American-Style Stout,2010-06-15 19:25:11 UTC
43,3,American-Style Imperial Stout,2010-06-15 19:25:18 UTC
44,3,Specialty Stouts,2010-06-15 19:25:26 UTC
45,3,American-Style Imperial Porter,2010-06-15 19:25:33 UTC
46,3,Porter,2010-06-15 19:25:53 UTC
47,4,German-Style Kolsch,2010-06-15 20:43:02 UTC
48,4,Berliner-Style Weisse,2010-06-15 19:29:33 UTC
49,4,Leipzig-Style Gose,2010-06-15 19:29:40 UTC
50,4,South German-Style Hefeweizen,2010-06-15 19:29:47 UTC
51,4,South German-Style Kristal Weizen,2010-06-15 19:29:55 UTC
52,4,German-Style Leichtes Weizen,2010-06-15 19:30:01 UTC
53,4,South German-Style Bernsteinfarbenes Weizen,2010-06-15 19:30:18 UTC
54,4,South German-Style Dunkel Weizen,2010-06-15 19:30:25 UTC
